Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,Current direct ax/tx BDD object-2 Response,Current direct ax/tx BDD object-2 Quantised,Current ax/tx BDD details object-29 Response,Current ax/tx BDD details object-29 Quantised,Frequency of BDD in current service object-3 Response,Frequency of BDD in current service object-3 Quantised,N BDD per year current service object-4 Response,N BDD per year current service object-4 Quantised,Previous direct ax/tx BDD object-21 Response,Previous direct ax/tx BDD object-21 Quantised,Prev ax/tx BDD details object-30 Response,Prev ax/tx BDD details object-30 Quantised,Guidelines for BDD object-15 Value,Protocols for BDD object-17 Value,Anything else to tell us object-19 Value
1,1744801059507,16/04/2025 10:57:39,1744804659507,1,16/04/2025 12:57:39,212748,1,questionnaire-5n73,,45448236,qvuvoqyl,13207343,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,NICE guidelines,No - would do research,
1,1744801408125,16/04/2025 11:03:28,1744805008125,1,16/04/2025 13:03:28,212748,1,questionnaire-5n73,,45448437,b4hpr6wt,13207431,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Every week,1,More than 66,8,Yes,1,Both assessed and treated BDD,3,NICE guildines,"BDD: Treatment Manual
CBT for BDD","It can be very challenging to treat, has links with OCD in terms of the intrusions and compulsive behaviours. Treatment typically involves CBT with ERP"
1,1744801666337,16/04/2025 11:07:46,1744805266337,1,16/04/2025 13:07:46,212748,1,questionnaire-5n73,,45448593,8kr8ijoa,13207408,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Less than once a year,5,0 to 5,1,Yes,1,Only assessed BDD,1,"Probably NICE guidance but not confident about that!
Often delays in diagnosis as kept hidden/ shameful/ poor insight, always screen for if presence of OCD in particular (but also more widely although I do often forget)
CBT
Good evidence for SSRI and at higher doses
Be cautious about risk (often high)
",I know they are out there but I don't have them,I think we probably miss a lot as people (including me) don't generally screen well for it. I have come across several 'late' or crisis cases that may have been easier to treat earlier
1,1744801970845,16/04/2025 11:12:50,1744805570845,1,16/04/2025 13:12:50,212748,1,questionnaire-5n73,,45448738,79x2spox,13207444,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Less than once a year,5,11 to 15,3,Unsure,3,,,No,No,
1,1744802024925,16/04/2025 11:13:44,1744805624925,1,16/04/2025 13:13:44,212748,1,questionnaire-5n73,,45448763,900wp9xo,13207483,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Less than once a year,5,0 to 5,1,Unsure,3,,,"Yes there are, unsure of them",Unsure,"I supported parents during crisis with young person with BDD to manage risk

I am awaiting additional training"
1,1744802141263,16/04/2025 11:15:41,1744805741263,1,16/04/2025 13:15:41,212748,1,questionnaire-5n73,,45448813,26j7gb5n,13207397,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Less than once a year,5,0 to 5,1,No,2,,,None,None,
1,1744802441438,16/04/2025 11:20:41,1744806041438,1,16/04/2025 13:20:41,212748,1,questionnaire-5n73,,45448952,vkd5ttqe,13207442,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1236x548,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every month,2,16 to 25,4,No,2,,,Maudsley manual,as above,
1,1744807152280,16/04/2025 12:39:12,1744810752280,1,16/04/2025 14:39:12,212748,1,questionnaire-5n73,,45450951,27cxv86i,13207333,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1536x864,1528x714,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,6 to 10,2,Unsure,3,,,most likely linked with OCD guidelines,Maudlsey have an OCD/ BDD manual,i largely work with eating disorders and often body dysmorphia is present but not often considered in terms of a co-morbid diagnosis
1,1744807346477,16/04/2025 12:42:26,1744810946477,1,16/04/2025 14:42:26,212748,1,questionnaire-5n73,,45451047,atty3tiy,13207311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only treated BDD,2,Less than once a year,5,0 to 5,1,Yes,1,Only treated BDD,2,NONE,NONE,Fairly rare and difficult to treat.
1,1744810819467,16/04/2025 13:40:19,1744814419467,1,16/04/2025 15:40:19,212748,1,questionnaire-5n73,,45452984,y6pwv5r2,13208689,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,390x844,390x663,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,26 to 35,5,No,2,,,no,no,no
1,1744813698806,16/04/2025 14:28:18,1744817298806,1,16/04/2025 16:28:18,212748,1,questionnaire-5n73,,45454812,xgavj5we,13207342,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,Nice 2005,"Wilhelm et al., 2013
Veale & Neziroglu (2010) p. 226​",
1,1744814813065,16/04/2025 14:46:53,1744818413065,1,16/04/2025 16:46:53,212748,1,questionnaire-5n73,,45455426,f9lhbvna,13209161,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,11 to 15,3,Yes,1,Only assessed BDD,1,NICE guidelines ,The OCD manual,
1,1744816230311,16/04/2025 15:10:30,1744819830311,1,16/04/2025 17:10:30,212748,1,questionnaire-5n73,,45456205,2bxez23v,13209422,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1920x925,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,26 to 35,5,Not applicable (I haven't worked in other services),4,,,NICE guidelines,"No, although I'm sure they exist",
1,1744818032443,16/04/2025 15:40:32,1744821632443,1,16/04/2025 17:40:32,212748,1,questionnaire-5n73,,45457097,rwmeeek4,13209912,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only treated BDD,2,Less than once a year,5,6 to 10,2,Not applicable (I haven't worked in other services),4,,,None,None,No
1,1744818808182,16/04/2025 15:53:28,1744822408182,1,16/04/2025 17:53:28,212748,1,questionnaire-5n73,,45457408,6f4gw6jp,13209897,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Less than once a year,5,0 to 5,1,Not applicable (I haven't worked in other services),4,,,Nice guidelines,None - I have not had to use this,No. I think family therapy could be helpful - I think it's good practice for intervention to involve parents in some way even if it is from a psycho-ed perspective - but in my team CBT would be the first line of treatment if they hadn't had this before
1,1744824614149,16/04/2025 17:30:14,1744828214149,1,16/04/2025 19:30:14,212748,1,questionnaire-5n73,,45459479,g00mjjrm,13210867,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,393x852,393x659,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 6-12 months,4,6 to 10,2,No,2,,,none,none,
1,1744880877731,17/04/2025 09:07:57,1744884477731,1,17/04/2025 11:07:57,212748,1,questionnaire-5n73,,45470923,r4bwu370,13213714,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every 6-12 months,4,0 to 5,1,No,2,,,none ,none ,"I work within a low instensity primary mental health team, so it is rarely a presentation we see. I would assume it is seen more in the higher intensity anxiety treatment teams in our service. I have quite limited kmowledge of the disorder, but an understanding that it can be similar in presentation to OCD, and can be treated using ERP. "
1,1744898232586,17/04/2025 13:57:12,1744901832586,1,17/04/2025 15:57:12,212748,1,questionnaire-5n73,,45477808,19upob77,13216672,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Less than once a year,5,0 to 5,1,No,2,,,None,Non,
1,1744901156206,17/04/2025 14:45:56,1744904756206,1,17/04/2025 16:45:56,212748,1,questionnaire-5n73,,45480205,2ji8v24l,13217172,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,No,2,,,no,no,I work in an assessment team it has never came up for 18months now and both that inpatient. Only knowledge I have is from a CPD training I did about 6 months ago very insightful
1,1744905867671,17/04/2025 16:04:27,1744909467671,1,17/04/2025 18:04:27,212748,1,questionnaire-5n73,,45482863,gf0244bi,13218341,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,Unsure,3,,,CBT as the first-line treatment CBT should include exposure and response prevention (ERP) when appropriate.,None,
1,1745302145058,22/04/2025 06:09:05,1745305745058,1,22/04/2025 08:09:05,212748,1,questionnaire-5n73,,45549298,8h3mclvr,13240959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,No,2,,,NICE guidelines include OCD and BDD together - they are not specific to adolescents,Not aware,"BDD is seen in a separate team within our wider service that supports young people with anxiety disorders, hence my lack of contact with YP with this difficulty"
1,1745309080400,22/04/2025 08:04:40,1745312680400,1,22/04/2025 10:04:40,212748,1,questionnaire-5n73,,45550324,3l0o5j3z,13243810,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 2-6 months,3,0 to 5,1,No,2,,,no,no,no
1,1745314227851,22/04/2025 09:30:27,1745317827851,1,22/04/2025 11:30:27,212748,1,questionnaire-5n73,,45551702,7d2mnpk5,13243710,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only treated BDD,2,Every 2-6 months,3,0 to 5,1,No,2,,,CBT mostly informed through the NICE guidelines ,N/A,
1,1745340224346,22/04/2025 16:43:44,1745343824346,1,22/04/2025 18:43:44,212748,1,questionnaire-5n73,,45565206,dzszui64,13252398,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,Not applicable (I haven't worked in other services),4,,,None,None,
1,1745350688147,22/04/2025 19:38:08,1745354288147,1,22/04/2025 21:38:08,212748,1,questionnaire-5n73,,45569229,3ygg8oep,13253646,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,393x852,393x659,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Less than once a year,5,0 to 5,1,No,2,,,NICE,BDD treatment manual by ?Veale et al.,"hard to identify unless you are asking the ""right"" screening questions, associated with high levels of risk, often subject to diagnostic overshadowing"
1,1745414716450,23/04/2025 13:25:16,1745418316450,1,23/04/2025 15:25:16,212748,1,questionnaire-5n73,,45585038,h23xlqyw,13260577,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 2-6 months,3,6 to 10,2,Not applicable (I haven't worked in other services),4,,,None,BDD Workbook Manual from Maudsley Hospital,
1,1745415167537,23/04/2025 13:32:47,1745418767537,1,23/04/2025 15:32:47,212748,1,questionnaire-5n73,,45585179,0cqje7qr,13260656,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Less than once a year,5,0 to 5,1,Yes,1,Only treated BDD,2,NICE,none,I did crisis management work so meaningful therapeautic work was rarely achieved. 
1,1745418795654,23/04/2025 14:33:15,1745422395654,1,23/04/2025 16:33:15,212748,1,questionnaire-5n73,,45589045,v2nkxdwb,13261589,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Less than once a year,5,0 to 5,1,No,2,,,none,none,
1,1745422601334,23/04/2025 15:36:41,1745426201334,1,23/04/2025 17:36:41,212748,1,questionnaire-5n73,,45592953,0ib5m37x,13262734,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x954,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every month,2,11 to 15,3,No,2,,,None,None,"It is not a specfic assessment I do, but it can play a part in the assessment I carry out. "
1,1745422793526,23/04/2025 15:39:53,1745426393526,1,23/04/2025 17:39:53,212748,1,questionnaire-5n73,,45593079,xmo90qe9,13262505,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,Not sure,Not sure,
1,1745577597635,25/04/2025 10:39:57,1745581197635,1,25/04/2025 12:39:57,212748,1,questionnaire-5n73,,45636345,st9lhd84,13275474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,16 to 25,4,No,2,,,No,CBT?,
1,1745679664359,26/04/2025 15:01:04,1745683264359,1,26/04/2025 17:01:04,212748,1,questionnaire-5n73,,45668899,e464tqiu,13285100,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x898,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every 6-12 months,4,6 to 10,2,No,2,,,NICE guidance that overlap with OCD ,No ,"Not typically covered within CBT teaching/ limited knowledge on this area but imagine are transdiagnositc and relevant across other disorders. 
S"
1,1746022368805,30/04/2025 14:12:48,1746025968805,1,30/04/2025 16:12:48,212748,1,questionnaire-5n73,,45762940,wai7pwva,13316676,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,412x915,411x782,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Less than once a year,5,0 to 5,1,Yes,1,Both assessed and treated BDD,3,yes the NICE guidelines,Centre for Clinical Interventions professional manual/workbook on BDD ,"BDD is not something i have worked with regularly in my decade of practice as a CAMHS clinician so I do not feel I am an expert on this diagnostic category and would always draw on my MDT when assessing and working with such a presentation. Ideally I would choose for a more experienced colleague to take such presentations, but in CAMHS teams there may not be many professionals with an expertise on BDD apart from psychology and psychiatry, and these professionals are often in high demand. I use NICE guidelines, and the DSM to assist in diagnosis and treatment queries however professional manuals can be harder to find. I have utilised the Centre for Clinical Interventions professional workbooks regularly as a result. The CCI is an Australian based clinical institute which specialists in CBT. I am aware of the CCI as I trained and originally practiced in Australia."
