id,item_id,item,view_response,choice_text,view_rt,null_resp
10283,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",11590.0,0
10283,1,Depression,2.0,Depression is the absence of emotions,26027.0,0
10284,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",64077.0,0
10284,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,19196.0,0
10286,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",21254.0,0
10286,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,17993.0,0
10288,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",15699.0,0
10288,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8105.0,0
10289,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",11567.0,0
10289,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8019.0,0
10290,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",20694.0,0
10290,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,10948.0,0
10291,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",16232.0,0
10291,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,18336.0,0
10292,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",7829.0,0
10292,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6572.0,0
10293,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",160364.0,0
10293,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,9336.0,0
10295,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",5596.0,0
10295,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,10571.0,0
10296,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",3254.0,0
10296,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8741.0,0
10297,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",9395.0,0
10297,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,33647.0,0
10298,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",13856.0,0
10298,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6567.0,0
10299,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",5105.0,0
10299,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6166.0,0
10300,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",8474.0,0
10300,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,9763.0,0
10301,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",13751.0,0
10301,1,Depression,2.0,Depression is the absence of emotions,26088.0,0
10302,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",7005.0,0
10302,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,11643.0,0
10303,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",38864.0,0
10303,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,15694.0,0
10304,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",4827.0,0
10304,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,5573.0,0
10305,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",4828.0,0
10305,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,5005.0,0
10306,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7566.0,0
10306,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,12888.0,0
10307,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",6238.0,0
10307,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,23728.0,0
10308,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",7301.0,0
10308,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,13069.0,0
10310,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",6919.0,0
10310,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,11209.0,0
10311,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",31665.0,0
10311,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,22245.0,0
10312,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7333.0,0
10312,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,15314.0,0
10313,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",4527.0,0
10313,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,5854.0,0
10314,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",11746.0,0
10314,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,14031.0,0
10316,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7056.0,0
10316,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,4590.0,0
10317,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",6805.0,0
10317,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,117476.0,0
10318,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",16198.0,0
10318,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8813.0,0
10512,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",4942.0,0
10512,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,19760.0,0
10513,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",8429.0,0
10513,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,8209.0,0
10514,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",10107.0,0
10514,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,28784.0,0
10515,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",8852.0,0
10515,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,10836.0,0
10516,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",18817.0,0
10516,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,15631.0,0
10517,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",16283.0,0
10517,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,26533.0,0
10518,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",11274.0,0
10518,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,20714.0,0
10519,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",10602.0,0
10519,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,12126.0,0
10520,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",6375.0,0
10520,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6554.0,0
10521,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",28411.0,0
10521,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,98563.0,0
10522,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",11522.0,0
10522,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,10002.0,0
10527,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",72763.0,0
10527,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,12238.0,0
10551,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",29282.0,0
10551,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,161595.0,0
10555,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",7064.0,0
10555,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,7664.0,0
10677,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",17267.0,0
10677,1,Depression,2.0,Depression is the absence of emotions,8200.0,0
10763,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",10983.0,0
10763,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,6136.0,0
10771,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",10406.0,0
10771,1,Depression,0.0,Depression is just a more extreme version of normal emotions of sadness or grief,25901.0,0
10795,0,Aim of life,1.0,"The aim of life is to do something meaningful and worthwhile, and it doesn’t really matter how happy you feel",8696.0,0
10795,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,13603.0,0
10799,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",11218.0,0
10799,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,14412.0,0
10800,0,Aim of life,0.0,"The aim of life is to feel as happy as possible, as much of the time as possible",14034.0,0
10800,1,Depression,1.0,Depression is a mental illness: it’s very different from normal emotions of sadness or grief,11544.0,0
