id,item_id,item,agreement_response,agreement_rt,null_resp
10267,8,I have learnt a lot about myself by being happy. ,1.0,4160.0,0
10267,9,I have learnt a lot about myself by being sad. ,0.0,2895.0,0
10267,10,How one feels is not the most important thing. ,-1.0,4864.0,0
10267,11,"I am always trying to be myself, even if this makes me feel low.",1.0,1944.0,0
10267,12,Feeling anger is always good. ,-2.0,1832.0,0
10267,13,Feeling anger is never good. ,-1.0,2094.0,0
10267,14,Anger can be important in life.,1.0,3800.0,0
10268,1,I never want to be sad again. ,-2.0,2329.0,0
10268,2,I feel that occasional sadness is important. ,1.0,4931.0,0
10268,3,I enjoy feeling melancholy sometimes.,0.0,9395.0,0
10268,4,It is not always bad to feel low. ,2.0,2242.0,0
10268,5,It is never good to feel low. ,2.0,1847.0,0
10268,6,When I  feel low I can see things more clearly.,-2.0,6909.0,0
10268,7,Feeling sad sometimes is part of normal life,2.0,2465.0,0
10268,8,I have learnt a lot about myself by being happy. ,2.0,765.0,0
10268,9,I have learnt a lot about myself by being sad. ,1.0,2929.0,0
10268,10,How one feels is not the most important thing. ,-1.0,4401.0,0
10268,11,"I am always trying to be myself, even if this makes me feel low.",-1.0,2313.0,0
10268,12,Feeling anger is always good. ,-2.0,5609.0,0
10268,13,Feeling anger is never good. ,-1.0,1833.0,0
10268,14,Anger can be important in life.,1.0,1864.0,0
10273,1,I never want to be sad again. ,-2.0,4412.0,0
10273,2,I feel that occasional sadness is important. ,1.0,5871.0,0
10273,3,I enjoy feeling melancholy sometimes.,1.0,399.0,0
10273,4,It is not always bad to feel low. ,1.0,3708.0,0
10273,5,It is never good to feel low. ,-1.0,1132.0,0
10273,6,When I  feel low I can see things more clearly.,2.0,8639.0,0
10273,7,Feeling sad sometimes is part of normal life,2.0,2587.0,0
10273,8,I have learnt a lot about myself by being happy. ,-1.0,2608.0,0
10273,9,I have learnt a lot about myself by being sad. ,1.0,21820.0,0
10273,10,How one feels is not the most important thing. ,-1.0,2311.0,0
10273,11,"I am always trying to be myself, even if this makes me feel low.",1.0,2604.0,0
10273,12,Feeling anger is always good. ,-2.0,1673.0,0
10273,13,Feeling anger is never good. ,-1.0,3140.0,0
10273,14,Anger can be important in life.,-1.0,2363.0,0
10274,1,I never want to be sad again. ,0.0,609.0,0
10274,2,I feel that occasional sadness is important. ,2.0,151.0,0
10274,3,I enjoy feeling melancholy sometimes.,1.0,303.0,0
10274,4,It is not always bad to feel low. ,-1.0,643.0,0
10274,5,It is never good to feel low. ,0.0,3145.0,0
10274,6,When I  feel low I can see things more clearly.,0.0,864.0,0
10274,7,Feeling sad sometimes is part of normal life,0.0,3410.0,0
10274,8,I have learnt a lot about myself by being happy. ,2.0,149.0,0
10274,9,I have learnt a lot about myself by being sad. ,1.0,589.0,0
10274,10,How one feels is not the most important thing. ,2.0,173.0,0
10274,11,"I am always trying to be myself, even if this makes me feel low.",2.0,994.0,0
10274,12,Feeling anger is always good. ,1.0,3529.0,0
10274,13,Feeling anger is never good. ,1.0,461.0,0
10274,14,Anger can be important in life.,1.0,335.0,0
10275,1,I never want to be sad again. ,-1.0,3079.0,0
10275,2,I feel that occasional sadness is important. ,-1.0,8511.0,0
10275,3,I enjoy feeling melancholy sometimes.,1.0,6048.0,0
10275,4,It is not always bad to feel low. ,2.0,3512.0,0
10275,5,It is never good to feel low. ,-1.0,2810.0,0
10275,6,When I  feel low I can see things more clearly.,0.0,3561.0,0
10275,7,Feeling sad sometimes is part of normal life,2.0,2718.0,0
10275,8,I have learnt a lot about myself by being happy. ,1.0,7960.0,0
10275,9,I have learnt a lot about myself by being sad. ,1.0,45237.0,0
10275,10,How one feels is not the most important thing. ,-1.0,22461.0,0
10275,11,"I am always trying to be myself, even if this makes me feel low.",0.0,6265.0,0
10275,12,Feeling anger is always good. ,-2.0,3337.0,0
10275,13,Feeling anger is never good. ,1.0,6112.0,0
10275,14,Anger can be important in life.,-2.0,6321.0,0
10278,1,I never want to be sad again. ,2.0,4609.0,0
10278,2,I feel that occasional sadness is important. ,-2.0,2248.0,0
10278,3,I enjoy feeling melancholy sometimes.,-1.0,3497.0,0
10278,4,It is not always bad to feel low. ,-1.0,1722.0,0
10278,5,It is never good to feel low. ,2.0,2593.0,0
10278,6,When I  feel low I can see things more clearly.,-1.0,5347.0,0
10278,7,Feeling sad sometimes is part of normal life,1.0,2679.0,0
10278,8,I have learnt a lot about myself by being happy. ,2.0,5647.0,0
10278,9,I have learnt a lot about myself by being sad. ,-1.0,55929.0,0
10278,10,How one feels is not the most important thing. ,-1.0,6065.0,0
10278,11,"I am always trying to be myself, even if this makes me feel low.",1.0,6748.0,0
10278,12,Feeling anger is always good. ,-2.0,3881.0,0
10278,13,Feeling anger is never good. ,2.0,5105.0,0
10278,14,Anger can be important in life.,-1.0,5984.0,0
10280,1,I never want to be sad again. ,-1.0,2465.0,0
10280,2,I feel that occasional sadness is important. ,1.0,1984.0,0
10280,3,I enjoy feeling melancholy sometimes.,-1.0,3960.0,0
10280,4,It is not always bad to feel low. ,1.0,2879.0,0
10280,5,It is never good to feel low. ,-1.0,1759.0,0
10280,6,When I  feel low I can see things more clearly.,0.0,2784.0,0
10280,7,Feeling sad sometimes is part of normal life,2.0,2383.0,0
10280,8,I have learnt a lot about myself by being happy. ,2.0,3703.0,0
10280,9,I have learnt a lot about myself by being sad. ,1.0,4946.0,0
10280,10,How one feels is not the most important thing. ,0.0,6496.0,0
10280,11,"I am always trying to be myself, even if this makes me feel low.",2.0,3649.0,0
10280,12,Feeling anger is always good. ,-2.0,2856.0,0
10280,13,Feeling anger is never good. ,-1.0,2896.0,0
10280,14,Anger can be important in life.,1.0,6711.0,0
10319,1,I never want to be sad again. ,-1.0,6331.0,0
10319,2,I feel that occasional sadness is important. ,1.0,2023.0,0
10319,3,I enjoy feeling melancholy sometimes.,0.0,15616.0,0
10319,4,It is not always bad to feel low. ,1.0,2906.0,0
10319,5,It is never good to feel low. ,-1.0,8495.0,0
10319,6,When I  feel low I can see things more clearly.,0.0,38139.0,0
10319,7,Feeling sad sometimes is part of normal life,1.0,2839.0,0
10319,8,I have learnt a lot about myself by being happy. ,1.0,2329.0,0
10319,9,I have learnt a lot about myself by being sad. ,1.0,2394.0,0
10319,10,How one feels is not the most important thing. ,1.0,4149.0,0
10319,11,"I am always trying to be myself, even if this makes me feel low.",1.0,1283.0,0
10319,12,Feeling anger is always good. ,-1.0,3454.0,0
10319,13,Feeling anger is never good. ,-1.0,7144.0,0
10319,14,Anger can be important in life.,1.0,2134.0,0
10320,1,I never want to be sad again. ,1.0,1888.0,0
10320,2,I feel that occasional sadness is important. ,2.0,4010.0,0
10320,3,I enjoy feeling melancholy sometimes.,-1.0,2175.0,0
10320,4,It is not always bad to feel low. ,1.0,3709.0,0
10320,5,It is never good to feel low. ,-2.0,2411.0,0
10320,6,When I  feel low I can see things more clearly.,0.0,4494.0,0
10320,7,Feeling sad sometimes is part of normal life,2.0,1456.0,0
10320,8,I have learnt a lot about myself by being happy. ,1.0,1476.0,0
10320,9,I have learnt a lot about myself by being sad. ,1.0,3824.0,0
10320,10,How one feels is not the most important thing. ,-1.0,9953.0,0
10320,11,"I am always trying to be myself, even if this makes me feel low.",1.0,4459.0,0
10320,12,Feeling anger is always good. ,-1.0,2510.0,0
10320,13,Feeling anger is never good. ,-2.0,1743.0,0
10320,14,Anger can be important in life.,2.0,2300.0,0
10321,1,I never want to be sad again. ,0.0,3006.0,0
10321,2,I feel that occasional sadness is important. ,1.0,2313.0,0
10321,3,I enjoy feeling melancholy sometimes.,-1.0,20435.0,0
10321,4,It is not always bad to feel low. ,1.0,3493.0,0
10321,5,It is never good to feel low. ,-1.0,3633.0,0
10321,6,When I  feel low I can see things more clearly.,1.0,3183.0,0
10321,7,Feeling sad sometimes is part of normal life,1.0,2461.0,0
10321,8,I have learnt a lot about myself by being happy. ,1.0,1230.0,0
10321,9,I have learnt a lot about myself by being sad. ,1.0,6381.0,0
10321,10,How one feels is not the most important thing. ,-1.0,4157.0,0
10321,11,"I am always trying to be myself, even if this makes me feel low.",1.0,3353.0,0
10321,12,Feeling anger is always good. ,-1.0,3374.0,0
10321,13,Feeling anger is never good. ,-1.0,16606.0,0
10321,14,Anger can be important in life.,0.0,1681.0,0
10322,1,I never want to be sad again. ,1.0,7001.0,0
10322,2,I feel that occasional sadness is important. ,-1.0,29634.0,0
10322,3,I enjoy feeling melancholy sometimes.,-2.0,89780.0,0
10322,4,It is not always bad to feel low. ,-1.0,10432.0,0
10322,5,It is never good to feel low. ,-1.0,13127.0,0
10322,6,When I  feel low I can see things more clearly.,-1.0,5112.0,0
10322,7,Feeling sad sometimes is part of normal life,2.0,7230.0,0
10322,8,I have learnt a lot about myself by being happy. ,1.0,7689.0,0
10322,9,I have learnt a lot about myself by being sad. ,-1.0,5634.0,0
10322,10,How one feels is not the most important thing. ,-2.0,16484.0,0
10322,11,"I am always trying to be myself, even if this makes me feel low.",1.0,4655.0,0
10322,12,Feeling anger is always good. ,-2.0,5986.0,0
10322,13,Feeling anger is never good. ,2.0,6294.0,0
10322,14,Anger can be important in life.,-1.0,17394.0,0
10323,1,I never want to be sad again. ,1.0,18133.0,0
10323,2,I feel that occasional sadness is important. ,0.0,8953.0,0
10323,3,I enjoy feeling melancholy sometimes.,-1.0,7246.0,0
10323,4,It is not always bad to feel low. ,1.0,3363.0,0
10323,5,It is never good to feel low. ,0.0,11366.0,0
10323,6,When I  feel low I can see things more clearly.,0.0,3378.0,0
10323,7,Feeling sad sometimes is part of normal life,1.0,2982.0,0
10323,8,I have learnt a lot about myself by being happy. ,1.0,9294.0,0
10323,9,I have learnt a lot about myself by being sad. ,1.0,6464.0,0
10323,10,How one feels is not the most important thing. ,2.0,9549.0,0
10323,11,"I am always trying to be myself, even if this makes me feel low.",0.0,5876.0,0
10323,12,Feeling anger is always good. ,-2.0,3550.0,0
10323,13,Feeling anger is never good. ,1.0,8184.0,0
10323,14,Anger can be important in life.,-1.0,3535.0,0
10324,1,I never want to be sad again. ,1.0,4587.0,0
10324,2,I feel that occasional sadness is important. ,0.0,4537.0,0
10324,3,I enjoy feeling melancholy sometimes.,0.0,5407.0,0
10324,4,It is not always bad to feel low. ,1.0,4854.0,0
10324,5,It is never good to feel low. ,1.0,5411.0,0
10324,6,When I  feel low I can see things more clearly.,-1.0,5330.0,0
10324,7,Feeling sad sometimes is part of normal life,1.0,7007.0,0
10324,8,I have learnt a lot about myself by being happy. ,2.0,4604.0,0
10324,9,I have learnt a lot about myself by being sad. ,0.0,5356.0,0
10324,10,How one feels is not the most important thing. ,0.0,21922.0,0
10324,11,"I am always trying to be myself, even if this makes me feel low.",1.0,5003.0,0
10324,12,Feeling anger is always good. ,-1.0,3115.0,0
10324,13,Feeling anger is never good. ,1.0,3037.0,0
10324,14,Anger can be important in life.,0.0,6743.0,0
10325,1,I never want to be sad again. ,0.0,899.0,0
10325,2,I feel that occasional sadness is important. ,1.0,1317.0,0
10325,3,I enjoy feeling melancholy sometimes.,0.0,4091.0,0
10325,4,It is not always bad to feel low. ,2.0,364.0,0
10325,5,It is never good to feel low. ,1.0,226.0,0
10325,6,When I  feel low I can see things more clearly.,1.0,2549.0,0
10325,7,Feeling sad sometimes is part of normal life,2.0,254.0,0
10325,8,I have learnt a lot about myself by being happy. ,1.0,1265.0,0
10325,9,I have learnt a lot about myself by being sad. ,2.0,471.0,0
10325,10,How one feels is not the most important thing. ,2.0,236.0,0
10325,11,"I am always trying to be myself, even if this makes me feel low.",0.0,245.0,0
10325,12,Feeling anger is always good. ,1.0,480.0,0
10325,13,Feeling anger is never good. ,-1.0,1892.0,0
10325,14,Anger can be important in life.,2.0,1147.0,0
10326,1,I never want to be sad again. ,-2.0,2960.0,0
10326,2,I feel that occasional sadness is important. ,1.0,1736.0,0
10326,3,I enjoy feeling melancholy sometimes.,0.0,2928.0,0
10326,4,It is not always bad to feel low. ,1.0,4032.0,0
10326,5,It is never good to feel low. ,-2.0,3357.0,0
10326,6,When I  feel low I can see things more clearly.,0.0,4200.0,0
10326,7,Feeling sad sometimes is part of normal life,2.0,10279.0,0
10326,8,I have learnt a lot about myself by being happy. ,1.0,4384.0,0
10326,9,I have learnt a lot about myself by being sad. ,1.0,2911.0,0
10326,10,How one feels is not the most important thing. ,0.0,4856.0,0
10326,11,"I am always trying to be myself, even if this makes me feel low.",-2.0,7256.0,0
10326,12,Feeling anger is always good. ,0.0,2291.0,0
10326,13,Feeling anger is never good. ,-1.0,3253.0,0
10326,14,Anger can be important in life.,1.0,3396.0,0
10327,1,I never want to be sad again. ,-1.0,3635.0,0
10327,2,I feel that occasional sadness is important. ,2.0,4472.0,0
10327,3,I enjoy feeling melancholy sometimes.,2.0,1973.0,0
10327,4,It is not always bad to feel low. ,2.0,2134.0,0
10327,5,It is never good to feel low. ,-2.0,3032.0,0
10327,6,When I  feel low I can see things more clearly.,2.0,2646.0,0
10327,7,Feeling sad sometimes is part of normal life,2.0,6178.0,0
10327,8,I have learnt a lot about myself by being happy. ,2.0,2470.0,0
10327,9,I have learnt a lot about myself by being sad. ,2.0,2833.0,0
10327,10,How one feels is not the most important thing. ,-1.0,9358.0,0
10327,11,"I am always trying to be myself, even if this makes me feel low.",2.0,4044.0,0
10327,12,Feeling anger is always good. ,-1.0,3824.0,0
10327,13,Feeling anger is never good. ,-1.0,2832.0,0
10327,14,Anger can be important in life.,2.0,8194.0,0
10328,1,I never want to be sad again. ,-2.0,1698.0,0
10328,2,I feel that occasional sadness is important. ,1.0,2246.0,0
10328,3,I enjoy feeling melancholy sometimes.,-2.0,2216.0,0
10328,4,It is not always bad to feel low. ,2.0,1568.0,0
10328,5,It is never good to feel low. ,-1.0,4786.0,0
10328,6,When I  feel low I can see things more clearly.,0.0,2514.0,0
10328,7,Feeling sad sometimes is part of normal life,2.0,2638.0,0
10328,8,I have learnt a lot about myself by being happy. ,1.0,2118.0,0
10328,9,I have learnt a lot about myself by being sad. ,1.0,1866.0,0
10328,10,How one feels is not the most important thing. ,0.0,2974.0,0
10328,11,"I am always trying to be myself, even if this makes me feel low.",1.0,2382.0,0
10328,12,Feeling anger is always good. ,-2.0,2192.0,0
10328,13,Feeling anger is never good. ,-1.0,3361.0,0
10328,14,Anger can be important in life.,1.0,1576.0,0
10329,1,I never want to be sad again. ,-2.0,1616.0,0
10329,2,I feel that occasional sadness is important. ,2.0,2048.0,0
10329,3,I enjoy feeling melancholy sometimes.,-1.0,2624.0,0
10329,4,It is not always bad to feel low. ,2.0,2000.0,0
10329,5,It is never good to feel low. ,-2.0,1824.0,0
10329,6,When I  feel low I can see things more clearly.,2.0,1968.0,0
10329,7,Feeling sad sometimes is part of normal life,2.0,2448.0,0
10329,8,I have learnt a lot about myself by being happy. ,2.0,3072.0,0
10329,9,I have learnt a lot about myself by being sad. ,1.0,1296.0,0
10329,10,How one feels is not the most important thing. ,0.0,640.0,0
10329,11,"I am always trying to be myself, even if this makes me feel low.",-2.0,4705.0,0
10329,12,Feeling anger is always good. ,0.0,2080.0,0
10329,13,Feeling anger is never good. ,-2.0,2230.0,0
10329,14,Anger can be important in life.,2.0,1456.0,0
10330,1,I never want to be sad again. ,1.0,3445.0,0
