Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,Current direct ax/tx BDD object-2 Response,Current direct ax/tx BDD object-2 Quantised,Current ax/tx BDD details object-29 Response,Current ax/tx BDD details object-29 Quantised,Frequency of BDD in current service object-3 Response,Frequency of BDD in current service object-3 Quantised,N BDD per year current service object-4 Response,N BDD per year current service object-4 Quantised,Previous direct ax/tx BDD object-21 Response,Previous direct ax/tx BDD object-21 Quantised,Prev ax/tx BDD details object-30 Response,Prev ax/tx BDD details object-30 Quantised,Guidelines for BDD object-15 Value,Protocols for BDD object-17 Value,Anything else to tell us object-19 Value
1,1748423415952,28/05/2025 09:10:15,1748427015952,1,28/05/2025 11:10:15,212748,2,questionnaire-5n73,,46588220,zr7bagj9,13519729,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,3440x1440,2283x1272,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Every 2-6 months,3,26 to 35,5,Yes,1,Both assessed and treated BDD,3,NICE guidance.,Not aware.,"Such cases are rarely ""pure"" forms when I'm specifically asked to see them, but BDD symptoms are rather part of a set of emotional, psychological, family and social challenges presenting together."
1,1748510221942,29/05/2025 09:17:01,1748513821942,1,29/05/2025 11:17:01,212748,2,questionnaire-5n73,,46632038,io0v30oe,13528974,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 2-6 months,3,6 to 10,2,Not applicable (I haven't worked in other services),4,,,Nice Guidance OCD/BDD,Based on Veale approach,Can be confusion about more genral body dissatisfactions and BDD
1,1748510713523,29/05/2025 09:25:13,1748514313523,1,29/05/2025 11:25:13,212748,2,questionnaire-5n73,,46632479,1kcv2zp2,13529260,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 6-12 months,4,16 to 25,4,No,2,,,None,None,Can be difficult to differentiate from eating disorder and OCD
1,1748518019207,29/05/2025 11:26:59,1748521619207,1,29/05/2025 13:26:59,212748,2,questionnaire-5n73,,46636753,83n6ep4w,13530266,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every month,2,11 to 15,3,No,2,,,NICE guidance,Maudsley Manual,
1,1748524931490,29/05/2025 13:22:11,1748528531490,1,29/05/2025 15:22:11,212748,2,questionnaire-5n73,,46640205,4z7kgxxh,13531179,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Every month,2,11 to 15,3,Yes,1,Both assessed and treated BDD,3,NICE,NO,
1,1748594411171,30/05/2025 08:40:11,1748598011171,1,30/05/2025 10:40:11,212748,2,questionnaire-5n73,,46668123,3f2t9hbl,13536954,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,No,2,,,None,None,It is not something I have ever had training in and so have limited knowledge other than the broad definition of what it is.
1,1748613591735,30/05/2025 13:59:51,1748617191735,1,30/05/2025 15:59:51,212748,2,questionnaire-5n73,,46675864,dwsavhya,13539608,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1536x864,1528x704,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,no,no,no
1,1748613639109,30/05/2025 14:00:39,1748617239109,1,30/05/2025 16:00:39,212748,2,questionnaire-5n73,,46675884,22xkqxtt,13539579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Unsure,3,,,Less than once a year,5,6 to 10,2,No,2,,,i think the OCD NICE guidance also covers BDD ,no,"now we've started to see young people waiting for gender identity services, i'm seeing more young people who feel uncomfortable in their bodies to the point of dysmorphia however their pathways with us are understandably different from BDD. "
1,1748613871291,30/05/2025 14:04:31,1748617471291,1,30/05/2025 16:04:31,212748,2,questionnaire-5n73,,46675978,gfjs82s6,13539606,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Less than once a year,5,0 to 5,1,Yes,1,Only treated BDD,2,NICE guidelines.,-,"Experience through work in acute paediatric setting, not mental health setting."
1,1748615597915,30/05/2025 14:33:17,1748619197915,1,30/05/2025 16:33:17,212748,2,questionnaire-5n73,,46676668,wom6u2f7,13539943,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every month,2,6 to 10,2,No,2,,,None,None,
1,1748863289433,02/06/2025 11:21:29,1748866889433,1,02/06/2025 13:21:29,212748,2,questionnaire-5n73,,46743552,tav9xm6p,13552540,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,Not applicable (I haven't worked in other services),4,,,No,no,no
1,1748888084916,02/06/2025 18:14:44,1748891684916,1,02/06/2025 20:14:44,212748,2,questionnaire-5n73,,46763410,5a3g7oqx,13556250,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1920x1080,1912x920,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every 2-6 months,3,16 to 25,4,No,2,,,No,No,
1,1748895939990,02/06/2025 20:25:39,1748899539990,1,02/06/2025 22:25:39,212748,2,questionnaire-5n73,,46767970,73am8g3b,13557243,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,412x915,411x782,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Every 2-6 months,3,6 to 10,2,No,2,,,"
nice guidelines",wilhelm and stekeete BDD manual,
1,1748903511339,02/06/2025 22:31:51,1748907111339,1,03/06/2025 00:31:51,212748,2,questionnaire-5n73,,46771121,heyauomu,13557860,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,412x915,411x785,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Less than once a year,5,0 to 5,1,No,2,,,no,no,
1,1748904759275,02/06/2025 22:52:39,1748908359275,1,03/06/2025 00:52:39,212748,2,questionnaire-5n73,,46771518,hs22r389,13557968,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6,414x896,430x739,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,Not applicable (I haven't worked in other services),4,,,none,none,
1,1748905358956,02/06/2025 23:02:38,1748908958956,1,03/06/2025 01:02:38,212748,2,questionnaire-5n73,,46771684,51vu0gp9,13557940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Unsure,3,,,Unsure,7,6 to 10,2,Yes,1,Only treated BDD,2,That CBT is the standard approach I believe,No,"I think it can be easy to spot when it's a focus on a specific feature such as a nose, skin, hair etc. But less easy to spot when it crosses over with eating disorders or gender identity difficulties. I do wonder if many of the young people we treat with eating disorders using the Maudsley Approach are actually experiencing body dysmorphia, I have worked with many young people who have been diagnosed with anorexia but many of their behaviours are focused specifically around losing weight on their tummy, which seems to be the main preoccupation of their eating disorder."
1,1748933567545,03/06/2025 06:52:47,1748937167545,1,03/06/2025 08:52:47,212748,2,questionnaire-5n73,,46775487,oc8yu3qb,13558849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every 2-6 months,3,11 to 15,3,No,2,,,Nice guidelines,No,It can co occur with other mental health diagnosis and it's important to find the source of this. Famiy based interventions are key in supporting young people with body dysmorphia. Creative therapies are postiive in supporting body dysmorphia.
1,1748935851144,03/06/2025 07:30:51,1748939451144,1,03/06/2025 09:30:51,212748,2,questionnaire-5n73,,46776364,031rpnux,13558920,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1274x554,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Unsure,7,0 to 5,1,Not applicable (I haven't worked in other services),4,,,CBT for BDD,CBT for BDD,I work primarily with young people with eating disorders so in this context I often work with body dysmorphia but only in relation to an eating disorder.
1,1748936532794,03/06/2025 07:42:12,1748940132794,1,03/06/2025 09:42:12,212748,2,questionnaire-5n73,,46776993,y3pz4pm0,13559016,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,412x892,411x751,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 6-12 months,4,0 to 5,1,No,2,,,"NICE
CBT ERP
SSRI
family work",no,Assessed young person with BDD about his jaw. including a max fax doctor escalated distress for young person. lorazepam was the only way we could support with de-escalation
1,1748937267896,03/06/2025 07:54:27,1748940867896,1,03/06/2025 09:54:27,212748,2,questionnaire-5n73,,46777632,6wopjc55,13559054,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,No,2,,,NICE guidelines,No not without looking,
1,1748938192094,03/06/2025 08:09:52,1748941792094,1,03/06/2025 10:09:52,212748,2,questionnaire-5n73,,46778497,gneazgoa,13559197,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x674,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Both assessed and treated BDD,3,Every week,1,16 to 25,4,Yes,1,Both assessed and treated BDD,3,no,none,no thank you :)
1,1748938885039,03/06/2025 08:21:25,1748942485039,1,03/06/2025 10:21:25,212748,2,questionnaire-5n73,,46779142,fkvq6187,13559351,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every month,2,More than 66,8,Not applicable (I haven't worked in other services),4,,,None I am aware of,No, - Body image difficulties and worries are very prevelant with young people. Around 70% of young people I assess or work with have difficult feelings about how their body looks to a different degree. 
1,1748939429155,03/06/2025 08:30:29,1748943029155,1,03/06/2025 10:30:29,212748,2,questionnaire-5n73,,46779663,kbcguw8l,13559317,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x594,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every 6-12 months,4,6 to 10,2,Yes,1,Both assessed and treated BDD,3,NICE,Maudsley model,
1,1748939893619,03/06/2025 08:38:13,1748943493619,1,03/06/2025 10:38:13,212748,2,questionnaire-5n73,,46780125,t9kk59pk,13559437,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x594,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 6-12 months,4,36 to 50,6,Yes,1,Only assessed BDD,1,"NICE
NHS",Online info from BDD foundation and written text books,
1,1748940100057,03/06/2025 08:41:40,1748943700057,1,03/06/2025 10:41:40,212748,2,questionnaire-5n73,,46780323,8ovv64tq,13559405,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,NICE guidelines ,no ,Working within the Eating Disorder clinic there are young people who meet criteria for BDD however a presentation such as anorexia nervosa would take precedent for treatment. After anorexia treatment they may recieve CBT - E however i am not involved in this within my role. 
1,1748940128925,03/06/2025 08:42:08,1748943728925,1,03/06/2025 10:42:08,212748,2,questionnaire-5n73,,46780342,d156r2zy,13559520,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,none,none,
1,1748940804993,03/06/2025 08:53:24,1748944404993,1,03/06/2025 10:53:24,212748,2,questionnaire-5n73,,46780951,h8qa5jfk,13559471,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1033x581,1281x589,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 6-12 months,4,6 to 10,2,Yes,1,Only assessed BDD,1,no,No,"I have some reservations about this being a condition that deserves to be seen, treated and researched as a separate disorder as it will hugely overlap with depression, ED and anxiety difficulties.  But my kknowledge on this is limited and clearly needs updating."
1,1748943617623,03/06/2025 09:40:17,1748947217623,1,03/06/2025 11:40:17,212748,2,questionnaire-5n73,,46783353,uqm49heh,13560200,,live,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1280x720,1268x596,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Never,6,0 to 5,1,No,2,,,nne,none,
1,1748943787442,03/06/2025 09:43:07,1748947387442,1,03/06/2025 11:43:07,212748,2,questionnaire-5n73,,46783483,2py0pcmm,13560210,,live,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x746,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every 6-12 months,4,11 to 15,3,No,2,,,nice,none,would like more training
1,1748943813540,03/06/2025 09:43:33,1748947413540,1,03/06/2025 11:43:33,212748,2,questionnaire-5n73,,46783510,is4igd0g,13560190,,live,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Every month,2,6 to 10,2,No,2,,,No,No,I have not personally assessed or worked with anyone with BDD
1,1748943860857,03/06/2025 09:44:20,1748947460857,1,03/06/2025 11:44:20,212748,2,questionnaire-5n73,,46783566,jt9ihgt0,13560218,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1920x1080,1912x928,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,6 to 10,2,No,2,,,No but I would look at our trust's policies and talk to the MDT to gather more pertinent information to inform my assessment and any recommentations made. ,No ,
1,1748944412541,03/06/2025 09:53:32,1748948012541,1,03/06/2025 11:53:32,212748,2,questionnaire-5n73,,46784058,bo3be06b,13560257,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1080,1912x928,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,OCD female - BDD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,0 to 5,1,No,2,,,Not that I am aware of ,Not that I am aware of ,This is an area that I have little understanding of but am keen to learn more
1,1748944607330,03/06/2025 09:56:47,1748948207330,1,03/06/2025 11:56:47,212748,2,questionnaire-5n73,,46784200,ea2pe2il,13560092,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1225x604,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Yes,1,Only assessed BDD,1,Every 6-12 months,4,0 to 5,1,Yes,1,Both assessed and treated BDD,3,NICE Guidelines,None,
1,1748944802503,03/06/2025 10:00:02,1748948402503,1,03/06/2025 12:00:02,212748,2,questionnaire-5n73,,46784341,px2rhqv7,13560344,,live,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1366x768,1358x608,Completed prevalence - clicked onto thanks and debrief,,0,BDD experience questions,15,BDD male - OCD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,No,2,,,Unsure,7,6 to 10,2,No,2,,,NICE guidelines.,None,
